adapt_lr,meta_lr,k_adapt_steps,N_patient_group,query_set,suport_set,loss,elapsed_time_min
0.02,0.0005,5,10,10,5,0.40958449244499207,5.76
0.02,0.0005,3,10,10,5,0.40969952940940857,4.65
0.005,0.0001,3,4,10,5,0.4106352627277374,4.55
0.005,0.0001,10,6,10,5,0.41104692220687866,4.58
0.01,0.005,5,10,10,5,0.41113072633743286,4.41
0.001,0.0001,3,6,10,5,0.41284847259521484,4.9
0.005,0.0001,3,6,10,5,0.4146779477596283,4.53
0.001,0.0001,5,6,10,5,0.4154989719390869,4.48
0.01,0.0001,10,6,10,5,0.41552871465682983,4.75
0.02,0.005,5,10,10,5,0.41811683773994446,4.47
0.001,0.005,5,10,10,5,0.4186801314353943,4.77
0.01,0.0001,5,6,10,5,0.4187946021556854,4.33
0.005,0.005,5,10,10,5,0.4189099669456482,3.97
0.01,0.0001,3,6,10,5,0.4194506108760834,4.64
0.01,0.005,10,20,10,5,0.41945499181747437,4.81
0.005,0.0001,5,6,10,5,0.4196622967720032,4.7
0.01,0.0005,10,10,10,5,0.4196709394454956,4.57
0.01,0.0005,3,10,10,5,0.4199916124343872,4.59
0.02,0.001,5,10,10,5,0.4208758473396301,4.72
0.02,0.001,10,10,10,5,0.42118221521377563,4.16
0.02,0.0001,5,6,10,5,0.42131349444389343,4.68
0.005,0.005,10,20,10,5,0.42134904861450195,4.5
0.02,0.0001,3,10,10,5,0.4218246638774872,4.67
0.02,0.005,10,20,10,5,0.4228605031967163,4.77
0.02,0.0001,5,4,10,5,0.42379531264305115,4.79
0.01,0.0001,3,4,10,5,0.42400309443473816,4.32
0.02,0.001,3,10,10,5,0.4248727262020111,5.26
0.01,0.005,3,10,10,5,0.4256094694137573,4.54
0.001,0.005,10,20,10,5,0.4256547689437866,4.83
0.02,0.0001,10,6,10,5,0.4265967905521393,4.5
0.005,0.005,1,10,10,5,0.4270284175872803,4.28
0.01,0.0001,5,4,10,5,0.4272496700286865,4.61
0.01,0.0001,3,10,10,5,0.42763280868530273,4.42
0.01,0.0005,5,10,10,5,0.4276837408542633,4.58
0.02,0.005,3,10,10,5,0.42768606543540955,4.5
0.02,0.005,1,10,10,5,0.42832159996032715,4.36
0.005,0.0001,5,4,10,5,0.42832717299461365,4.65
0.001,0.005,1,10,10,5,0.4285877048969269,4.69
0.01,0.005,1,10,10,5,0.4293953776359558,4.64
0.001,0.005,10,10,10,5,0.4295389950275421,4.6
0.005,0.005,10,10,10,5,0.42993155121803284,4.63
0.005,0.0005,3,10,10,5,0.4302375614643097,4.38
0.001,0.0001,5,4,10,5,0.43035900592803955,8.09
0.02,0.0001,3,6,10,5,0.4320814609527588,4.64
0.005,0.005,3,10,10,5,0.4327385723590851,4.32
0.005,0.0001,3,10,10,5,0.43294280767440796,4.78
0.01,0.001,3,10,10,5,0.4348267912864685,4.69
0.005,0.0005,10,10,10,5,0.4352354109287262,4.87
0.01,0.001,5,10,10,5,0.4360029101371765,4.44
0.02,0.0001,10,4,10,5,0.43636587262153625,4.69
0.005,0.005,1,20,10,5,0.4370410144329071,4.56
0.001,0.0005,3,10,10,5,0.43727344274520874,6.24
0.01,0.005,1,20,10,5,0.4374060034751892,4.35
0.001,0.005,1,20,10,5,0.43741685152053833,4.49
0.02,0.005,5,20,10,5,0.43779367208480835,4.58
0.001,0.0001,10,4,10,5,0.43839332461357117,8.77
0.01,0.005,5,20,10,5,0.43905967473983765,4.44
0.02,0.0005,1,10,10,5,0.439360111951828,4.57
0.005,0.001,3,10,10,5,0.44030264019966125,4.63
0.02,0.005,3,20,10,5,0.440306693315506,4.83
0.01,0.005,10,10,10,5,0.44040119647979736,4.69
0.001,0.005,3,10,10,5,0.4409073293209076,4.69
0.01,0.0001,5,10,10,5,0.4410838782787323,4.37
0.02,0.0001,5,10,10,5,0.44123315811157227,4.32
0.005,0.0001,10,4,10,5,0.44123733043670654,4.46
0.01,0.0005,1,10,10,5,0.4413115382194519,4.5
0.005,0.005,5,20,10,5,0.44131603837013245,4.52
0.02,0.005,1,20,10,5,0.4413636028766632,4.49
0.005,0.0005,5,10,10,5,0.44145363569259644,4.7
0.01,0.005,3,20,10,5,0.4416504204273224,4.47
0.001,0.005,3,20,10,5,0.4420631527900696,4.91
0.001,0.0001,3,10,10,5,0.4421301484107971,7.71
0.005,0.005,3,20,10,5,0.44230833649635315,4.62
