epoch,train_loss,valid_loss
1,0.3137340417031612,0.2190448530872042
2,0.25089492608772157,0.16667900904828298
3,0.20787546833516832,0.15835781445992844
4,0.21197047955790818,0.16673661920441582
5,0.20943210099508683,0.14239132081949343
6,0.22164528793227398,0.15557916187016027
7,0.215451848494755,0.15097232627615864
8,0.21939099529837977,0.1920949573702519
9,0.23125051440502448,0.1533998790511211
10,0.22153247632415948,0.15564049048282738
11,0.22503439039803427,0.15831804291995627
12,0.22425771471800204,0.1479633275012944
13,0.22056828024610117,0.14831234400700186
14,0.21285568233617436,0.15113684806921002
15,0.21517051875570992,0.1786526806850267
16,0.21686026938462477,0.1557155522288725
17,0.20672934550165603,0.15583428541967084
18,0.2159374659428331,0.15605967225883866
19,0.2029899897280804,0.14963364087466505
20,0.20868160546465014,0.14617387522677225
21,0.21838187107941867,0.1531392344218191
22,0.22360403960287936,0.15851320586174666
23,0.2150575349093437,0.15443893732809802
24,0.2276649528542512,0.18049409762339017
25,0.23268246304286913,0.16140252688404408
