epoch,train_loss,valid_loss
1,0.6568612829489227,0.6549476089271216
2,0.651331155058107,0.6472532248296416
3,0.6536133608577592,0.6517917491466954
4,0.6593793709673376,0.6403859447172054
5,0.6535416733554578,0.6589503869987451
6,0.6455415817826063,0.6392097841231869
7,0.6508079295537152,0.6617386296305519
8,0.6541958346363739,0.6372187717230274
9,0.642402067181305,0.6529060846911027
10,0.6486916354929214,0.6477098934753583
11,0.6541880019593569,0.660102121615066
12,0.6416683178751109,0.6543335193710832
13,0.6447028380695267,0.6563358137240777
14,0.6487770517483776,0.6718439922023278
15,0.6470372047307229,0.6471066462793029
16,0.6434257039327564,0.6594761784260089
17,0.6415053394941728,0.6474016924861532
18,0.6425065535047609,0.6468622501853567
19,0.646478570482019,0.6546103230290689
20,0.6385918155597399,0.6586331666805423
21,0.6466644672123162,0.6446625448476809
22,0.6475463625959605,0.6461717058001802
23,0.6446758351910641,0.6498859493635022
24,0.6408055680475505,0.6554344836436212
25,0.6445351477783609,0.6614172947005583
26,0.6464605632980324,0.6452014584782032
27,0.6418582289605528,0.6564064384165865
28,0.643570066451162,0.6408277480103649
