epoch,train_loss,valid_loss
1,0.6122814561757777,0.549163319170475
2,0.5338395039240519,0.5161865716179211
3,0.5250069714254804,0.5080240274469058
4,0.507088567233748,0.4788979870577653
5,0.49063625807563466,0.517099938293298
6,0.48869719066553646,0.4892633999387423
7,0.4875299682219823,0.4972034439444542
8,0.4517468060884211,0.5131672615806262
9,0.45811135570208233,0.4671341652671496
10,0.44371309793657726,0.47446969201167427
11,0.4490671219925086,0.4885886331399282
12,0.4383919868204329,0.47979008505741755
13,0.44348569379912484,0.47737202420830727
14,0.4281714798675643,0.4865518530209859
15,0.4112759302887652,0.4668918433288733
16,0.4227592903706763,0.48291664694746333
17,0.4095098533564144,0.44259831408659617
18,0.4038410596549511,0.4240586802363396
19,0.3939499267273479,0.4190496320525805
20,0.38440741557214,0.4135084254046281
21,0.40067973194850814,0.4796257644891739
22,0.3948754573033916,0.4664597469071547
23,0.38380609618292916,0.42804713596900307
24,0.3846156145963404,0.4258189017573992
25,0.3915909574263626,0.42119490007559457
26,0.36821190723114544,0.4335430473089218
27,0.3828275791472859,0.4083381094038486
28,0.3625125019914574,0.4473839009801547
29,0.3626929364270634,0.43318384860952697
30,0.3730437770071957,0.4542440250515938
31,0.3708830082582103,0.4272044156988462
32,0.36062777663270634,0.422398392111063
33,0.36621952305237454,0.43739854271213213
34,0.3763146267996894,0.42571972161531446
35,0.35860766739481026,0.4336910811563333
36,0.3595194632394446,0.4068363922337691
37,0.3604932783378495,0.40198913017908733
38,0.3446245988210042,0.44209638064106305
39,0.34602861520316863,0.4199867201348146
40,0.34120083082881236,0.3825865070025126
41,0.33073420636355877,0.3904133602976799
42,0.3417175209356679,0.39022178053855894
43,0.3295636499921481,0.38916706417997676
44,0.3295155581500795,0.37869474018613497
45,0.32205539962483776,0.3947277252872785
46,0.3372305403980944,0.3912729409833749
47,0.328596582222316,0.39544840653737384
48,0.3330250672168202,0.41612545947233837
49,0.3248653954101933,0.4321388150254885
50,0.3249238458358579,0.39796443035205203
51,0.3266608814398448,0.402448466916879
52,0.3189295281966527,0.4703282142678897
53,0.3123132752047645,0.3882346781591574
54,0.32306768165694344,0.38333823954065643
55,0.311970083663861,0.38579127937555313
56,0.3070722911506891,0.38702830200393995
57,0.31726181300150025,0.3952275493492683
58,0.3090815076397525,0.3923523756364981
59,0.31222262440456283,0.41247481455405555
60,0.31321266873015297,0.39182837133606274
61,0.3040104042738676,0.40848324696222943
62,0.31371829265521634,0.40601420948902767
63,0.31184832668966717,0.41784801209966344
64,0.2972571479363574,0.3942221485078335
