epoch,train_loss,valid_loss
1,0.6451267882864526,0.5833979025110603
2,0.6145639087291475,0.6474960181117058
3,0.6039699247542848,0.571704038567841
4,0.5764911408754105,0.5644703919440508
5,0.5818407713098729,0.5653865187242627
6,0.564025897294917,0.5477705521136522
7,0.5623471221391191,0.5413603387773037
8,0.5479998250590994,0.5600786593928934
9,0.5389552681369985,0.5865311933681369
10,0.5526888734482704,0.5372166738286615
11,0.5446920440552082,0.5778665867075324
12,0.5436409943915428,0.5531330278888344
13,0.5092577271004941,0.5419891415163874
14,0.5218748714061494,0.5490074079856276
15,0.5064749563628055,0.5638724073767662
16,0.514182210983114,0.5364391358569265
17,0.5223811662577568,0.4926191947236657
18,0.5187585414724147,0.48682140655815603
19,0.5233682797310201,0.5101859445124864
20,0.5029230970651546,0.5263671975955367
21,0.507702556062252,0.538948981538415
22,0.49919189354206656,0.4979226156324148
23,0.4874114439208457,0.4479078217223287
24,0.4937115007892568,0.4935840875655413
25,0.5079055443089059,0.531897105500102
26,0.48014696341879826,0.5186204671487212
27,0.482657206312139,0.5116314119845629
28,0.4784034474733028,0.5219626042246819
29,0.49280181184728095,0.4951753817126155
30,0.47064466051598813,0.5169939237460494
31,0.4754997746107426,0.5171043359488249
32,0.4806938791528661,0.5591229135170579
33,0.47750098185336337,0.4804337698593736
34,0.476485490735541,0.48821742784231903
35,0.4507478945432825,0.46799869004637
36,0.47156903242811243,0.5211144560575485
37,0.481095792765313,0.5331635546684265
38,0.4801595852730122,0.4741373739764094
39,0.4615910513603941,0.49709232240915296
40,0.44561717744837415,0.477848896458745
41,0.45848926806703527,0.46955625992268324
42,0.46125495985467385,0.45657438203692435
43,0.45036520697969074,0.4971882474794984
