epoch,train_loss,valid_loss
1,0.6319425078782629,0.5660869938507677
2,0.5948562652506727,0.6291139604151249
3,0.584769588201604,0.551663879789412
4,0.5501556153627152,0.5504200681671501
5,0.5565581426975575,0.5426478191837668
6,0.5419943416372258,0.5351504924148321
7,0.5365394197879954,0.5217610260471701
8,0.5246425665439444,0.53831547960639
9,0.5160587147829381,0.5637022997811436
10,0.5242565988860232,0.5181331660971046
11,0.5194814009869352,0.55096036542207
12,0.5171327986615769,0.533978916592896
13,0.47904945434407986,0.5339296878874302
14,0.4895543918330619,0.52306137137115
15,0.4759262169929261,0.5442355854436756
16,0.4810466024469822,0.5081171094998718
17,0.49197821610785547,0.460882685855031
18,0.4865152340620122,0.462790345326066
19,0.49060008449757353,0.4805804582312703
20,0.4734223856570873,0.5026010214909911
21,0.47738366386991865,0.49694725073873997
22,0.462974299395338,0.4645900398865342
23,0.44942974904750255,0.4139627281203866
24,0.4570961962354944,0.46937725581228734
25,0.47086683974621146,0.49601851154118776
26,0.44196719381403415,0.4824107345566154
27,0.443845777562324,0.4942947657033801
28,0.4377910560749947,0.5000626307725906
29,0.45434000733050894,0.4624786380678415
30,0.4302999142002552,0.4880783635377884
31,0.4367113235148978,0.4965585869550705
32,0.4416717635190233,0.5401190096139907
33,0.43613607566407386,0.45927636183798315
34,0.43466845769831475,0.4545392060652375
35,0.4167748621169557,0.43149930469691755
36,0.4340573720475461,0.5000938229262829
37,0.440615447467946,0.5087023477628827
38,0.43956957199472063,0.4480421467870474
39,0.41880506340493545,0.47313781939446925
40,0.4098741331633101,0.44285752333700656
41,0.4155261019442944,0.4487071720138192
42,0.4244630740678057,0.42995292466133833
43,0.4115167464347596,0.45362147960811855
