epoch,train_loss,valid_loss
1,0.508921902619145,0.501426275188803
2,0.4980860964386864,0.48352306567763215
3,0.482742103013236,0.48932659223912256
4,0.4817742489892013,0.48084166742979534
5,0.4791008285554272,0.4583898229396374
6,0.4745839421565716,0.46240911123850353
7,0.4756808788132067,0.4564476410784419
8,0.4681193623780555,0.45503778369436976
9,0.4696191426156085,0.45774183895182674
10,0.46536497588138176,0.4648919244962079
11,0.46618132241491234,0.4595748469174381
12,0.464823900212878,0.4500981728373854
13,0.4649219893025573,0.4583836066975165
14,0.4570555504160401,0.45394260340897497
15,0.4581377377937731,0.454560348842904
16,0.4578366105028202,0.4611400969385628
17,0.45983798890149535,0.4672968368543677
