epoch,train_loss,valid_loss
1,0.3133192586987054,0.22333598806419305
2,0.25071647785568496,0.16666247557723038
3,0.20777242175646385,0.16178947779246503
4,0.2198048449819432,0.16102740451811798
5,0.22436268494380138,0.15529334080490534
6,0.22255641862704406,0.1543185719928246
7,0.2137187135065389,0.1576559435409893
8,0.21454389521901587,0.17192637776061598
9,0.2259491657099,0.15118273039910174
10,0.21532869594611628,0.1645630287708685
11,0.23387348382315967,0.14550687546974847
12,0.22782581716387895,0.18473278185655734
13,0.22452395111119527,0.16651443202262892
14,0.22101286717312038,0.1661575328540205
15,0.2236141447761458,0.15573579274202948
16,0.22110012277562635,0.1698014495474848
17,0.22198803336254952,0.15502124566230036
18,0.2163004418118642,0.1542317710536909
19,0.22005248035908434,0.15248026372421356
20,0.21404157133127574,0.16660157347223647
21,0.2293620533351086,0.15606657332068102
22,0.22458969176302482,0.15309872926353285
23,0.22538370147748127,0.15494109897556463
24,0.220993346073763,0.15334506581060678
25,0.2229096716063172,0.17675774757591417
26,0.22166099183012872,0.16053759646343274
27,0.22498442723185655,0.21955734277171793
28,0.21117691826417667,0.16782979626921818
29,0.21299773744904038,0.1538772127664988
30,0.21753863606239315,0.1522188071289011
31,0.21082732832937967,0.15161548607635297
32,0.2240336137088973,0.1543062049814219
