experiment,learning_rate,shots,mae_pre,mae_post,delta_mae,tasa_mejora,mejoraron,empeoraron
1,1e-05,5,16.525914452956204,16.218508803943976,-0.3074056490122281,98.79406307977736,1065,13
2,0.0001,5,16.525914452956204,13.664202234132391,-2.861712218823813,98.51576994434137,1062,16
3,0.0005,5,16.525914452956204,6.80908643527575,-9.716828017680454,98.23747680890537,1059,19
4,0.001,5,16.525914452956204,4.132581136118558,-12.393333316837646,97.95918367346938,1056,22
5,0.005,5,16.525914452956204,3.0415947209915806,-13.484319731964623,96.84601113172542,1044,34
6,0.01,5,16.525914452956204,3.493977815825112,-13.031936637131093,94.8051948051948,1022,56
7,0.05,5,16.525914452956204,8.378762313878381,-8.147152139077823,74.11873840445269,799,279
