experiment,learning_rate,shots,mae_pre_sbp,mae_post_sbp,delta_mae_sbp,mae_pre_dbp,mae_post_dbp,delta_mae_dbp,tasa_mejora_sbp,tasa_mejora_dbp,mejoraron_sbp,mejoraron_dbp,empeoraron_sbp,empeoraron_dbp
1,1e-05,5,14.479218984634404,14.429880904576331,-0.04933808005807272,7.2076275796804,7.190639031107549,-0.016988548572850704,93.13543599257885,85.34322820037106,1004,920,74,158
2,0.0001,5,14.479218984634404,13.993828969508243,-0.48539001512616053,7.2076275796804,7.0397121797355515,-0.1679153999448486,92.85714285714286,85.06493506493507,1001,917,77,161
3,0.0005,5,14.479218984634404,12.194845321061218,-2.284373663573186,7.2076275796804,6.424918758985284,-0.7827088206951158,91.37291280148423,83.48794063079778,985,900,93,178
4,0.001,5,14.479218984634404,10.314856224024672,-4.164362760609732,7.2076275796804,5.782884037809823,-1.4247435418705772,90.07421150278293,83.6734693877551,971,902,107,176
5,0.005,5,14.479218984634404,6.611583472763453,-7.867635511870951,7.2076275796804,4.234536305899302,-2.9730912737810984,78.75695732838591,73.8404452690167,849,796,229,282
6,0.01,5,14.479218984634404,7.74541752351403,-6.733801461120374,7.2076275796804,4.4566383265332075,-2.7509892531471927,73.28385899814471,66.88311688311688,790,721,288,357
7,0.05,5,14.479218984634404,21.962267783997454,7.483048799363051,7.2076275796804,17.63860868077884,10.43098110109844,37.291280148423006,20.59369202226345,402,222,676,856
