experiment,learning_rate,shots,mae_pre_sbp,mae_post_sbp,rmse_post_sbp,std_post_sbp,delta_mae_sbp,mae_pre_dbp,mae_post_dbp,rmse_post_dbp,std_post_dbp,delta_mae_dbp,tasa_mejora_sbp,tasa_mejora_dbp,mejoraron_sbp,mejoraron_dbp,empeoraron_sbp,empeoraron_dbp
1,1e-05,5,16.551674,16.528399,20.551605,20.551147,-0.023275375,9.868865,9.845876,14.481296,12.455556,-0.022989273,0.91,0.92,91,92,9,8
2,0.0001,5,16.551674,16.320383,20.345198,20.344864,-0.23129082,9.868865,9.644477,14.309113,12.308393,-0.22438812,0.91,0.9,91,90,9,10
3,0.0005,5,16.551674,15.423574,19.45225,19.45222,-1.1280994,9.868865,8.876104,13.595182,11.715147,-0.99276066,0.9,0.88,90,88,10,12
4,0.001,5,16.551674,14.362444,18.384096,18.384033,-2.18923,9.868865,8.139053,12.804477,11.068108,-1.7298117,0.88,0.83,88,83,12,17
5,0.005,5,16.551674,9.223046,12.726484,12.723155,-7.3286276,9.868865,5.7059298,8.830396,8.6017685,-4.1629353,0.83,0.74,83,74,17,26
6,0.01,5,16.551674,9.674147,13.349002,13.344466,-6.877527,9.868865,5.74876,7.9334145,7.8162155,-4.120105,0.76,0.67,76,67,24,33
7,0.05,5,16.551674,13.551926,17.947304,17.859585,-2.9997482,9.868865,10.854455,14.115291,13.775326,0.98559,0.52,0.35,52,35,48,65
