experiment,learning_rate,shots,mae_pre_sbp,mae_post_sbp,delta_mae_sbp,mae_pre_dbp,mae_post_dbp,delta_mae_dbp
1,1e-05,5,14.578617440462112,14.529289512634277,-0.049327927827835794,6.314632605910301,6.299634929895401,-0.014997676014900208
2,0.0001,5,13.883431677222251,13.358082561045885,-0.5253491161763666,6.297505579590798,6.126560649722815,-0.17094492986798304
3,0.0005,5,13.161011871099472,10.527111243009568,-2.633900628089904,6.2218500483036046,5.517070552706718,-0.7047794955968865
4,0.001,5,13.322149069905281,9.172476315498352,-4.149672754406929,6.4032221899926665,5.072579062581062,-1.3306431274116042
5,0.005,5,18.644093306064605,7.462086437344551,-11.182006868720054,8.05434027850628,4.269086212813854,-3.785254065692425
6,0.01,5,24.12995716571808,9.42539318650961,-14.70456397920847,10.706113082766533,5.594869092479348,-5.111243990287186
7,0.05,5,35.433060208559034,17.929358553290367,-17.503701655268667,20.473062275648118,15.246719512939453,-5.226342762708665
