experiment,learning_rate,shots,mae_pre,mae_post,delta_mae,tasa_mejora,mejoraron,empeoraron
1,1e-05,5,18.248557380437852,17.88895895600319,-0.3595984244346617,98.0,98,2
2,0.0001,5,18.83992996275425,15.261713566184044,-3.578216396570207,97.0,97,3
3,0.0005,5,21.333808155059813,8.534700387716294,-12.79910776734352,97.0,97,3
4,0.001,5,23.383813619613647,6.814260878562927,-16.56955274105072,99.0,99,1
5,0.005,5,28.95753966450691,3.6568734884262084,-25.300666176080703,96.0,96,4
6,0.01,5,30.593068721294404,3.9879870012402536,-26.60508172005415,90.0,90,10
7,0.05,5,33.50406453609467,8.434643188118935,-25.069421347975734,82.0,82,18
