experiment,learning_rate,shots,mae_pre,mae_post,delta_mae,tasa_mejora,mejoraron,empeoraron
1,1e-05,5,16.525914452956204,16.463236493115524,-0.06267795984068059,97.49536178107606,1051,27
2,0.0001,5,16.525914452956204,15.911346121212548,-0.6145683317436568,96.84601113172542,1044,34
3,0.0005,5,16.525914452956204,13.679915394710035,-2.8459990582461696,95.73283858998145,1032,46
4,0.001,5,16.525914452956204,11.5427717103006,-4.983142742655604,93.97031539888683,1013,65
5,0.005,5,16.525914452956204,6.845807094258258,-9.680107358697946,86.5491651205937,933,145
6,0.01,5,16.525914452956204,6.906498858031293,-9.619415594924911,85.15769944341372,918,160
7,0.05,5,16.525914452956204,20.9490331065511,4.423118653594894,44.8051948051948,483,595
