experiment,learning_rate,shots,mae_pre_sbp,mae_post_sbp,rmse_post_sbp,std_post_sbp,delta_mae_sbp,mae_pre_dbp,mae_post_dbp,rmse_post_dbp,std_post_dbp,delta_mae_dbp,tasa_mejora_sbp,tasa_mejora_dbp,mejoraron_sbp,mejoraron_dbp,empeoraron_sbp,empeoraron_dbp
1,1e-05,5,17.140587,17.088953,20.76368,20.399475,-0.051633835,9.375058,9.342181,12.440106,12.404551,-0.03287697,0.87,0.77,87,77,13,23
2,0.0001,5,17.140587,16.63199,20.31316,19.96326,-0.5085964,9.375058,9.053556,12.165067,12.121372,-0.32150173,0.87,0.75,87,75,13,25
