experiment,learning_rate,shots,mae_pre_sbp,mae_post_sbp,delta_mae_sbp,mae_pre_dbp,mae_post_dbp,delta_mae_dbp,tasa_mejora_sbp,tasa_mejora_dbp,mejoraron_sbp,mejoraron_dbp,empeoraron_sbp,empeoraron_dbp
1,1e-05,5,14.581719900369643,14.531750396490096,-0.049969503879546906,6.31358416736126,6.298341413736344,-0.015242753624916006,91.0,83.0,91,83,9,17
2,0.0001,5,13.753527811169624,13.233312091827393,-0.5202157193422305,6.295129419565201,6.143906372785568,-0.1512230467796325,92.0,83.0,92,83,8,17
3,0.0005,5,12.952190400362015,10.488803250193596,-2.463387150168419,6.12134046562016,5.301076277643443,-0.8202641879767176,93.0,85.0,93,85,7,15
4,0.001,5,13.07737715423107,9.032215303182602,-4.045161851048469,6.515311351418495,5.132031756937504,-1.3832795944809906,86.0,85.0,86,85,14,15
5,0.005,5,16.671370553970338,8.79311346769333,-7.878257086277008,7.7994135630130765,4.85129451200366,-2.9481190510094164,71.0,68.0,71,68,29,32
6,0.01,5,22.478350121974945,9.775465148091316,-12.702884973883629,10.114981484413146,5.844533443152905,-4.2704480412602415,84.0,72.0,84,72,16,28
7,0.05,5,38.86849680423737,18.26113428235054,-20.607362521886827,19.41652840256691,16.9951218521595,-2.4214065504074114,75.0,51.0,75,51,25,49
