experiment,learning_rate,shots,mae_pre,mae_post,delta_mae,tasa_mejora,mejoraron,empeoraron
1,1e-05,5,7.9256070511267005,7.889092841733365,-0.03651420939333594,98.7012987012987,1064,14
2,0.0001,5,7.9256070511267005,7.562720571853677,-0.36288647927302353,98.05194805194806,1057,21
3,0.0005,5,7.9256070511267005,6.23270899735405,-1.6928980537726508,96.66048237476808,1042,36
4,0.001,5,7.9256070511267005,4.985345062946621,-2.9402619881800796,94.89795918367348,1023,55
5,0.005,5,7.9256070511267005,3.0808481692728726,-4.844758881853828,89.98144712430427,970,108
6,0.01,5,7.9256070511267005,3.4169044376995434,-4.5087026134271575,83.20964749536178,897,181
7,0.05,5,7.9256070511267005,10.383416665597009,2.4578096144703085,45.26901669758813,488,590
