experiment,learning_rate,shots,mae_pre,mae_post,delta_mae,tasa_mejora,mejoraron,empeoraron
1,1e-05,5,18.285348290205,17.926108227968214,-0.3592400622367862,98.0,98,2
2,0.0001,5,18.86970985531807,15.371739257574081,-3.49797059774399,97.0,97,3
3,0.0005,5,21.441575420498847,8.361087402701378,-13.08048801779747,97.0,97,3
4,0.001,5,24.398753068447114,6.4605313321948055,-17.93822173625231,99.0,99,1
5,0.005,5,27.48879195213318,4.084364889115095,-23.404427063018083,97.0,97,3
6,0.01,5,30.5850948035717,3.619729646742344,-26.965365156829357,92.0,92,8
7,0.05,5,33.947218022048474,8.793176341801882,-25.154041680246593,84.0,84,16
