experiment,learning_rate,shots,mae_pre_sbp,mae_post_sbp,delta_mae_sbp,mae_pre_dbp,mae_post_dbp,delta_mae_dbp,tasa_mejora_sbp,tasa_mejora_dbp,mejoraron_sbp,mejoraron_dbp,empeoraron_sbp,empeoraron_dbp
1,1e-05,5,12.9672943007946,12.920052463412285,-0.04724183738231602,6.437624120116234,6.420235887467861,-0.01738823264837297,91.0,81.0,91,81,9,19
2,0.0001,5,12.9672943007946,12.540642174482345,-0.4266521263122556,6.437624120116234,6.267683231830597,-0.16994088828563658,90.0,81.0,90,81,10,19
3,0.0005,5,12.9672943007946,10.953331425189972,-2.013962875604628,6.437624120116234,5.705916616916657,-0.7317075031995772,89.0,76.0,89,76,11,24
4,0.001,5,12.9672943007946,9.172143236398696,-3.7951510643959043,6.437624120116234,5.147495405673981,-1.290128714442253,87.0,78.0,87,78,13,22
5,0.005,5,12.9672943007946,6.345374286174774,-6.6219200146198265,6.437624120116234,3.616355101466179,-2.821269018650055,74.0,75.0,74,75,26,25
6,0.01,5,12.9672943007946,7.748097376823425,-5.219196923971175,6.437624120116234,4.13699198551476,-2.300632134601474,69.0,67.0,69,67,31,33
7,0.05,5,12.9672943007946,20.88272003173828,7.91542573094368,6.437624120116234,18.944312250614168,12.506688130497935,34.0,17.0,34,17,66,83
